Date_YYYYMMDD,LOCAL_ID,LOCAL_NAME,SNODAS_SWE_Mean_in,SNODAS_SWE_Mean_mm,SNODAS_EffectiveArea_sqmi,SNODAS_SWE_Volume_acft,SNODAS_SWE_Volume_1WeekChange_acft,SNODAS_SnowCover_percent,Updated_Timestamp
20031001,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:35:03.056000
20031002,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:35:55.759000
20031003,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:36:35.448000
20031004,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:37:16.917000
20031005,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:38:02.164000
20031006,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:38:45.858000
20031007,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,NULL,0.0,2017-03-16T13:39:29.686000
20031008,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:40:14.192000
20031009,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:40:58.759000
20031010,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:41:42.076000
20031011,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:42:26.252000
20031012,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:43:10.187000
20031013,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:43:52.658000
20031014,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:44:35.191000
20031015,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:45:18.056000
20031016,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:46:01.749000
20031017,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:46:45.689000
20031018,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:47:26.861000
20031019,LNAC2H_F,LITTLE NAVAJO OSO DIV DAM BLO CHROMO NR,0.0,0.0,18.0,0.0,0.0,0.0,2017-03-16T13:48:09.735000
